iter	RMSE
0	77.7872241
1	65.63906989
2	59.25498568
3	54.9074897
4	52.06582786
5	50.00881697
6	48.29614072
7	47.08299914
8	46.16317705
9	44.91862309
10	44.0680138
11	43.58783294
12	42.68952975
13	42.24547734
14	41.69730905
15	41.31077586
16	40.65614844
17	39.88963747
18	39.19366319
19	38.49236553
20	37.79157834
21	37.06484655
22	36.61508648
23	36.22456434
24	36.1198067
25	35.68889196
26	35.39108735
27	34.94961996
28	34.76352933
29	34.32953578
30	33.95074382
31	33.79720761
32	33.43567156
33	33.33125741
34	33.06381499
35	32.93839614
36	32.78372848
37	32.62728314
38	32.28984826
39	32.00768566
40	31.78196579
41	31.66838861
42	31.38726781
43	31.20953138
44	31.10216682
45	30.79552428
46	30.53963919
47	30.45775493
48	30.0809874
49	29.94282159
50	29.85568396
51	29.75168778
52	29.43075855
53	29.30811328
54	29.22713307
55	28.9114314
56	28.72291512
57	28.49908016
58	28.40314364
