iter	Passed	Remaining
0	3	333
1	9	445
2	13	424
3	16	400
4	19	377
5	26	421
6	30	402
7	32	378
8	36	365
9	41	375
10	44	363
11	48	353
12	50	341
13	58	358
14	62	353
15	65	341
16	69	339
17	74	337
18	77	331
19	81	326
20	86	324
21	90	321
22	94	315
23	97	308
24	103	309
25	108	309
26	112	303
27	116	299
28	121	296
29	132	309
30	139	310
31	142	303
32	149	302
33	153	297
34	156	290
35	159	283
36	164	279
37	169	276
38	172	270
39	175	263
40	180	259
41	185	256
42	188	250
43	191	243
44	196	240
45	201	236
46	204	230
47	207	224
48	212	221
49	217	217
50	220	211
51	223	205
52	229	203
53	233	198
54	235	193
55	239	188
56	246	185
57	249	180
58	252	175
59	255	170
60	261	167
61	264	162
62	267	157
63	270	152
64	275	148
65	279	143
66	282	139
67	286	134
68	287	129
69	293	125
70	296	121
71	299	116
72	303	112
73	308	108
74	312	104
75	315	99
76	319	95
77	324	91
78	327	87
79	332	83
80	335	78
81	341	74
82	345	70
83	348	66
84	351	62
85	356	57
86	361	53
87	369	50
88	373	46
89	380	42
90	388	38
91	395	34
92	402	30
93	408	26
94	411	21
95	418	17
96	423	13
97	426	8
98	429	4
99	435	0
